ImageId,EncodedPixels
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,259160 4 259670 8 260182 9 260693 11 261204 13 261716 13 262227 15 262739 15 263251 15 263763 15 264276 14 264788 14 265300 14 265813 12 266326 11 266838 11 267351 9 267868 3
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,26375 10 26862 13 26883 17 27371 43 27879 50 28385 59 28894 65 29405 67 29916 69 30426 74 30936 79 31446 83 31958 84 32469 87 32980 91 33490 97 34001 100 34512 101 35023 103 35534 106 36044 109 36554 112 37065 115 37577 116 38088 118 38599 122 39111 124 39622 127 40134 128 40645 130 41156 132 41667 134 42179 135 42690 136 43202 137 43713 138 44225 139 44737 139 45248 140 45760 140 46271 141 46783 141 47294 143 47806 142 48318 142 48830 142 49341 142 49853 142 50365 141 50877 141 51389 141 51901 140 52413 140 52925 140 53437 140 53950 139 54462 139 54974 139 55486 138 55998 138 56510 137 57022 137 57534 136 58046 136 58558 136 59071 135 59583 135 60095 134 60608 133 61120 132 61632 132 62145 130 62657 129 63169 129 63681 128 64193 128 64706 127 65218 126 65730 126 66243 125 66756 124 67269 123 67782 122 68295 121 68808 120 69320 120 69833 119 70345 119 70858 118 71370 118 71883 117 72395 117 72908 116 73420 116 73932 115 74444 115 74956 114 75468 114 75981 112 76493 112 77005 112 77517 112 78030 110 78542 110 79054 110 79566 109 80079 107 80591 107 81104 106 81617 104 82129 104 82642 103 83154 103 83666 102 84179 101 84691 100 85204 98 85716 98 86229 96 86741 96 87254 94 87768 91 88281 90 88794 88 89310 83 89825 79 90340 75 90853 74 91366 72 91879 69 92393 66 92906 64 93419 62 93932 60 94446 56 94960 52 95473 49 95987 46 96500 44 97014 39 97529 32 98044 16 98558 11 99072 5
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,148301 7 148808 17 149318 21 149829 24 150340 27 150851 30 151362 34 151874 37 151933 9 152385 41 152440 17 152896 46 152947 24 153408 77 153919 81 154430 83 154942 84 155453 86 155965 87 156477 88 156988 90 157500 91 158012 92 158524 93 159035 94 159547 95 160059 95 160571 95 161083 96 161595 96 162107 96 162619 97 163130 98 163642 98 164154 99 164666 99 165178 99 165690 99 166202 100 166713 101 167225 101 167737 102 168249 102 168761 103 169273 103 169784 105 170296 105 170808 105 171320 105 171832 106 172343 107 172855 107 173367 107 173879 107 174391 108 174903 108 175415 108 175927 108 176439 108 176951 108 177463 107 177975 107 178487 107 178999 107 179511 107 180023 107 180535 106 181047 106 181558 107 182070 107 182582 107 183094 107 183606 107 184118 107 184630 107 185143 106 185655 106 186167 106 186680 105 187192 105 187704 105 188217 104 188729 104 189242 103 189755 102 190268 101 190780 100 191293 99 191805 99 192318 98 192830 97 193342 97 193855 95 194368 94 194880 94 195393 92 195905 92 196418 91 196930 90 197443 89 197956 87 198469 85 198982 84 199495 83 200009 80 200522 79 201035 78 201548 76 202061 75 202576 71 203089 70 203602 68 204116 65 204630 63 205143 60 205656 58 206169 56 206682 55 207194 53 207707 48 208220 38 208733 33 209246 27 209761 17
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,88976 7 89484 14 89993 19 90504 22 91015 24 91526 26 92037 28 92547 31 93058 33 93569 35 94080 36 94592 37 95103 38 95614 40 96125 41 96637 42 97148 44 97659 45 98170 47 98682 47 99193 48 99705 49 100217 49 100728 50 101240 50 101752 51 102263 52 102775 53 103286 54 103798 54 104309 55 104821 56 105333 56 105844 57 106356 57 106867 58 107379 58 107890 59 108402 59 108913 60 109425 60 109937 60 110448 61 110960 61 111472 61 111984 61 112495 62 113007 62 113519 62 114030 63 114542 62 115054 62 115566 61 116079 60 116591 59 117103 59 117615 59 118128 57 118640 57 119152 57 119665 56 120177 56 120689 55 121202 54 121714 54 122227 53 122740 52 123253 51 123766 50 124278 50 124791 49 125304 47 125816 47 126328 47 126841 45 127353 45 127866 44 128379 42 128892 41 129404 41 129917 39 130430 37 130943 35 131456 32 131969 30 132482 27 132995 24 133510 16 134025 7
1879f4f4f05e2bada0ffeb46c128b8df7a79b14c84f38c3e216a69653495153b,43905 14 44412 21 44922 24 45433 27 45944 29 46454 33 46965 35 47477 36 47988 38 48499 40 49010 42 49522 43 50033 44 50545 45 51057 46 51569 47 52081 48 52593 48 53105 49 53617 49 54129 50 54641 51 55153 51 55665 51 56177 52 56689 52 57201 52 57713 52 58225 52 58737 52 59250 51 59762 51 60274 51 60787 50 61300 49 61813 48 62326 46 62840 44 63352 43 63866 40 64379 38 64893 35 65406 33 65919 31 66434 26 66949 20 67466 12 67983 5
472b1c5ff988dadc209faea92499bc07f305208dbda29d16262b3d543ac91c71,98911 7 99421 10 99932 12 100443 13 100953 16 101464 17 101973 20 102464 12 102481 23 102960 54 103467 58 103973 62 104479 64 104988 65 105498 66 106008 67 106519 67 107030 68 107542 68 108053 69 108565 69 109077 69 109588 70 110100 70 110611 71 111123 71 111635 71 112146 72 112658 73 113170 73 113682 73 114194 73 114706 73 115218 73 115730 73 116242 74 116754 74 117267 73 117779 73 118291 73 118803 73 119316 72 119828 72 120340 72 120853 70 121365 70 121878 69 122390 69 122903 68 123416 67 123928 67 124441 65 124954 38 124997 21 125466 35 125512 18 125979 32 126026 16 126491 30 126539 14 127004 28 127053 11 127517 26 127566 9 128029 23 128079 7 128542 13 128557 4 129054 12 129566 21 130078 25 130590 26 131102 28 131146 5 131614 30 131657 7 132125 32 132168 9 132637 52 133148 53 133660 53 134171 54 134683 54 135194 55 135706 56 136217 57 136728 58 137240 58 137751 60 138263 60 138774 62 139286 63 139798 63 140309 65 140820 67 141332 67 141843 69 142354 70 142865 72 143376 73 143887 75 144398 77 144909 79 145420 80 145514 3 145931 82 146023 9 146438 88 146532 14 146949 90 147040 19 147460 111 147972 112 148483 112 148995 111 149506 112 150018 111 150530 111 151042 110 151554 86 151647 15 152066 82 152161 12 152578 78 152674 9 153090 74 153190 1 153602 69 154114 64 154626 57 155138 49 155650 45 156162 43 156674 41 157186 39 157698 38 158210 37 158722 36 159234 35 159746 35 160258 35 160770 34 161282 34 161794 34 162306 34 162818 35 163330 35 163842 36 164354 36 164866 36 164945 12 165379 36 165451 20 165891 36 165960 25 166403 36 166468 31 166915 37 166978 34 167427 37 167488 37 167938 38 167999 38 168450 39 168509 41 168962 39 169018 44 169474 39 169529 46 169986 39 170040 47 170498 40 170551 48 171010 41 171061 50 171522 42 171570 53 172033 44 172081 54 172545 45 172591 55 173057 100 173569 99 174081 98 174593 97 175106 95 175618 94 176130 24 176156 67 176642 21 176670 63 177154 15 177184 58 177666 13 177698 55 178178 12 178211 53 178690 11 178723 47 179202 9 179235 43 179714 8 179747 39 180226 8 180260 35 180738 7 180772 32 181250 6 181284 30 181762 6 181797 26 182274 5 182309 21 182787 3 182821 20 183299 1 183334 17 183846 16 184359 14 184873 10 185386 8 185902 2
472b1c5ff988dadc209faea92499bc07f305208dbda29d16262b3d543ac91c71,182922 13 183432 17 183943 18 184454 20 184924 10 184964 22 185433 15 185475 24 185944 17 185986 25 186454 21 186497 26 186964 24 187008 27 187474 27 187519 28 187984 31 188030 29 188494 34 188541 30 189004 37 189052 31 189507 2 189511 43 189563 32 190013 54 190074 32 190519 62 190584 33 191026 103 191536 104 192045 107 192555 108 193066 107 193576 108 194087 108 194566 2 194598 80 194682 24 195077 4 195109 79 195196 20 195588 7 195597 2 195619 80 195711 15 196099 17 196129 81 196225 10 196611 22 196638 83 197122 110 197634 109 198146 107 198658 106 199169 106 199681 105 200193 104 200705 103 201217 101 201729 99 202241 98 202753 96 203265 94 203777 91 204289 89 204801 86 205313 33 205348 49 205825 29 205863 44 206337 27 206379 38 206849 24 206896 32 207361 23 207410 28 207873 21 207927 21 208385 19 208442 15 208897 16 209410 12 209922 9 210434 8 210946 7 211459 5
472b1c5ff988dadc209faea92499bc07f305208dbda29d16262b3d543ac91c71,30261 3 30771 13 31270 2 31281 16 31778 7 31795 15 32287 11 32308 15 32797 18 32820 16 33308 19 33332 17 33819 20 33844 18 34330 23 34356 18 34841 46 35352 48 35863 49 36374 51 36886 51 37397 52 37909 52 38421 52 38933 52 39445 52 39957 52 40469 52 40981 53 41493 53 42005 53 42518 51 43030 51 43543 49 44055 49 44568 48 45081 47 45594 45 46106 44 46619 42 47133 40 47646 38 48159 35 48673 31 49186 20 49210 2 49700 10 49713 3 50216 5 50730 2
472b1c5ff988dadc209faea92499bc07f305208dbda29d16262b3d543ac91c71,68671 1 68678 2 69182 2 69190 2 69693 6 69700 5 70200 23 70710 26 71219 30 71729 32 72239 37 72283 8 72750 54 73260 57 73768 62 74274 68 74785 70 75295 73 75805 76 76315 79 76826 81 77337 82 77849 83 78360 84 78871 85 79383 85 79894 86 80406 86 80918 86 81430 86 81942 85 82454 85 82966 85 83478 84 83990 83 84502 82 85014 82 85526 81 86039 79 86552 76 87065 73 87577 70 88090 66 88603 60 89117 52 89631 45 90146 39 90660 14 90677 5 90684 6 91173 4 91182 2 91190 2 91198 2
472b1c5ff988dadc209faea92499bc07f305208dbda29d16262b3d543ac91c71,27255 10 27766 13 28277 16 28787 20 29299 23 29810 28 30322 31 30833 34 31345 35 31856 37 32368 39 32880 40 33392 41 33903 43 34415 44 34927 45 35438 48 35950 50 36462 51 36974 51 37486 52 37998 54 38510 55 39022 56 39534 57 40046 58 40558 60 41070 62 41583 63 42095 64 42607 65 43119 66 43632 66 44144 68 44656 69 45169 69 45682 69 46194 70 46707 70 47220 70 47733 70 48245 71 48758 71 49270 72 49783 71 50296 71 50809 70 51281 13 51323 69 51788 21 51837 67 52294 30 52350 67 52805 33 52863 66 53316 36 53375 66 53826 40 53887 66 54336 49 54399 66 54847 55 54911 66 55358 59 55423 66 55869 132 56380 132 56891 133 57402 133 57913 79 57997 50 58425 79 58509 49 58937 80 59020 49 59449 81 59531 49 59961 128 60473 101 60593 3 60985 100 61497 99 62010 97 62523 96 63035 95 63548 94 64061 72 64136 18 64573 67 64649 17 65086 64 65161 17 65599 61 65673 17 66113 56 66186 16 66627 1 66634 3 66640 5 66651 1 66656 21 66698 15 67169 15 67212 12 67683 8 67727 6
